,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,moid,cluster_label
1416,0.109416339,0.084995476,0.166666667,0.12095407,0.266726033,0.462296837,0.30102594,0.066769826,0.047797313,0.409479711,0.29258301,0.445714286,0.281,0.001785497,0,0,0.220958309,0
3897,0.116679835,0.174679819,0.166666667,0.008904772,0.51170076,0.597969336,0.287500896,0.079762297,0.051867992,0.320976529,0.233074601,0.537142857,0.075,0,0,0,0.208877736,0
3172,0.070115565,0.234290582,0.166666667,0.113911653,0.220235122,0.609217968,0.185187181,0.049376153,0.027504996,0.204871557,0.226714101,0.56,0.286,0,0,0,0.09342421,0
2539,0.069779793,0.054572108,0.166666667,0.017844423,0.509800144,0.726219263,0.225142091,0.037767464,0.027344989,0.344031165,0.227145321,0.565714286,0.302,0.011700183,0,0,0.140921625,0
1375,0.071377118,0.239471947,0.166666667,0.051462835,0.454047828,0.433801989,0.186256659,0.050675908,0.028108297,0.414747758,0.277059077,0.525714286,0.267,0.003640951,0,0,0.094035681,2
4035,0.100607091,0.168176676,0.166666667,0.068080691,0.438797962,0.933994765,0.258712272,0.067446857,0.042989612,0.329072685,0.24342389,0.56,0.11,0,0,0,0.177996178,0
4051,0.112338575,0.070999484,0.166666667,0.133799322,0.849339517,0.358855603,0.311481775,0.067547425,0.049423587,0.429193296,0.182190599,0.502857143,0.18,0,0,0,0.237880608,2
4063,0.083531798,0.045048974,0.166666667,0.105043403,0.94871763,0.308776387,0.257104841,0.046252816,0.034089918,0.335810239,0.197175507,0.588571429,0.215,0,0,0,0.177833204,2
67,0.099740284,0.206918439,0.236111111,0.116469176,0.122598304,0.845989322,0.245972986,0.069913758,0.04252435,0.780849265,0.261211729,0.204571429,0.228,0.009048141,0.784586815,0.745038168,0.162531658,1
1540,0.098938307,0.075891702,0.166666667,0.070889941,0.003833311,0.533087979,0.281738653,0.058886664,0.042095146,0.477368195,0.292475205,0.462857143,0.14,0.006154784,0,0,0.201541361,0
5537,0.074555615,0.184721758,0.166666667,0.076107785,0.931496045,0.126733548,0.204786151,0.049518576,0.029643134,0.27034783,0.132061233,0.64,0,0,0,0,0.116968238,2
1628,0.07186646,0.171801854,0.166666667,0.141943778,0.368616428,0.296848776,0.202680485,0.046699272,0.028343214,0.347372215,0.25614489,0.52,0.256,0.005007069,0,0,0.115701279,2
192,0.090541562,0.331247334,0.166666667,0.175490529,0.971297606,0.228130192,0.195779956,0.072302481,0.037674968,0.517322169,0.187473049,0.370285714,0.343,0.00401036,0.753017642,0.467175573,0.113746367,1
2116,0.10423137,0.072590512,0.166666667,0.042367446,0.165278447,0.735344057,0.293859237,0.062203475,0.04495019,0.41150375,0.275010781,0.491428571,0.196,0.010114564,0,0,0.213560338,0
5976,0.087593462,0.169557387,0.166666667,0.226379758,0.399299752,0.668768231,0.233357638,0.05804788,0.036155394,0.349978512,0.273070289,0.491428571,0.162,0,0,0,0.153312746,0
2385,0.101303285,0.176003283,0.166666667,0.132897476,0.013559743,0.86595969,0.257787513,0.068588157,0.043364318,0.385496236,0.223695558,0.48,0.284,0,0,0,0.174735424,0
5459,0.071615963,0.186765702,0.166666667,0.053268879,0.538590656,0.784795488,0.198769273,0.047476471,0.028222896,0.188831741,0.168068133,0.64,0.338,0,0,0,0.112224425,0
2719,0.076610833,0.226114444,0.166666667,0.047617606,0.315060943,0.657224186,0.198756281,0.053811403,0.030646745,0.318675225,0.194588185,0.622857143,0.061,0,0,0,0.108961233,0
