full_name,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,condition_code,no_obs_used,absolute_magnitude_parameter,diameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,taxonomic_type,spec_T,near_eath_object,hazard_category,moid
  4323 Hortulus (1981 QN),2.246189102,0.202652895,,4.422572663,259.7971949,102.7718592,1.790992377,2.701385827,3.366492692,24543,0,2105,13.4,,,4.7354,,,,,N,N,0.794095
  4324 Bickel (1981 YA1),2.544934369,0.199615142,,7.777018119,292.7858686,108.6087862,2.036926934,3.052941803,4.059972412,34473,0,2112,12,11.654,0.248,26.592,,,,,N,N,1.06094
  4325 Guest (1982 HL),2.753021999,0.095111421,,5.762653494,60.06576403,110.3971595,2.491178164,3.014865833,4.56796455,16022,0,2050,12.5,9.247,0.188,,,,,,N,N,1.50419
  4326 McNally (1982 HS1),3.063234244,0.214791334,,4.287310673,109.9988058,153.3511385,2.405278073,3.721190415,5.361403763,25166,0,2017,12.6,16.002,0.055,,,,,,N,N,1.39015
  4327 Ries (1982 KB1),2.77233144,0.225428271,,16.67462896,55.7546645,276.6068251,2.147369558,3.397293321,4.616107641,13636,0,2137,11.7,14.8,0.097,126.562,,,Sk,,N,N,1.21296
  4328 Valina (1982 SQ2),2.3031046,0.173649443,,5.698628254,194.2722271,130.2084308,1.903171769,2.70303743,3.495253637,21032,0,1925,14.1,3.607,0.382,,,,,,N,N,0.896623
  4329 Miro (1982 SX2),2.258245808,0.103025583,,5.858361995,7.355865805,33.08749463,2.025588717,2.4909029,3.39363415,25353,0,1841,13.6,,,,,,,,N,N,1.03494
  4330 Vivaldi (1982 UJ3),2.241860915,0.037713186,,2.667690561,199.5461873,210.9796598,2.157313198,2.326408632,3.356767026,21842,0,1824,13.9,2.488,0.862,,,,,,N,N,1.16662
  4331 Hubbard (1983 HC),2.227648695,0.206675465,,5.719541935,72.130625,213.6077131,1.767248364,2.688049025,3.32489746,25138,0,2372,13.3,5.911,0.225,,,,,,N,N,0.753645
  4332 Milton (1983 RC),2.584536464,0.31504236,,19.16880358,165.9951223,198.3324529,1.770297997,3.39877493,4.155106866,31284,0,1869,12.8,11.54,0.2306,3.295,,,Xe,,N,N,0.773466
  4333 Sinton (1983 RO2),2.236029309,0.149113332,,4.160776747,143.4403571,178.7364686,1.902607528,2.56945109,3.34367794,16666,0,2303,13.6,4.096,0.29,,,,,,N,N,0.889178
  4334 Foo (1983 RO3),3.139162681,0.195425774,,1.633601266,61.79786725,348.6881271,2.525689385,3.752635978,5.56197377,14804,0,1917,13.1,,,7.42,,,,,N,N,1.53589
  4335 Verona (1983 VC7),2.212038476,0.219335593,,3.100444631,37.63507762,324.6779741,1.726859706,2.697217246,3.290009996,23546,0,2220,13.3,5.15,0.2418,3.5943,,,,,N,N,0.724671
  4336 Jasniewicz (1984 QE1),2.331987553,0.226309597,,7.946399565,348.145858,32.67290503,1.80423639,2.859738717,3.561209673,15326,0,1794,13.5,,,9.99,,,,,N,N,0.810918
  4337 Arecibo (1985 GB),3.261251336,0.090746606,,2.212915903,41.22033817,181.2614513,2.965303845,3.557198827,5.889583825,31421,0,1934,12.3,19.686,0.077,,,,,,N,N,1.95674
  4338 Velez (1985 PB1),2.250735935,0.178769916,,5.839091429,198.3084886,82.4544471,1.84837206,2.653099809,3.376719762,15054,0,1691,13.7,4.043,0.298,3.166,,,,,N,N,0.842758
  4339 Almamater (1985 UK),2.194144028,0.178160163,,2.165701461,300.3315599,73.1596057,1.803234971,2.585053085,3.250168677,26499,0,1834,14,4.156,0.371,30.84,,,,,N,N,0.804331
  4340 Dence (1986 JZ),2.393768815,0.231334586,,25.15575496,81.01367307,175.8349193,1.840007298,2.947530333,3.703663398,14519,0,1788,12.6,8.11,0.155,7.546,,,S,,N,N,0.824948
  4341 Poseidon (1987 KF),1.835143873,0.679488512,,11.85122842,108.1049798,15.63807484,0.588184693,3.082103053,2.486070152,11394,0,515,15.9,,,6.262,,,O,,Y,N,0.194222
  4342 Freud (1987 QO9),2.765681172,0.090963146,,6.07964625,133.3651641,181.0411107,2.514106112,3.017256232,4.59950793,25265,0,2293,12.4,19.18,0.051,,,,Xc,,N,N,1.49935
  4343 Tetsuya (1988 AC),2.784618928,0.172903579,,6.940999623,221.2094486,280.4699847,2.303148349,3.266089506,4.646830792,23138,0,2120,12.5,18.271,0.058,7.392,,,Ch,,N,N,1.32841
  4344 Buxtehude (1988 CR1),3.108707524,0.121049467,,2.391910462,114.5258068,92.80869854,2.732400136,3.485014913,5.481229656,23408,0,1662,12.8,15.913,0.054,18.087,,,,,N,N,1.72939
  4345 Rachmaninoff (1988 CM2),2.906070298,0.03429104,,2.856902627,136.384276,347.0874435,2.806418125,3.005722471,4.95412974,24875,0,2564,12.6,9.506,0.214,,,,,,N,N,1.82228
  4346 Whitney (1988 DS4),3.01714574,0.091078072,,10.23202707,224.5584163,74.93896395,2.742349922,3.291941558,5.240860929,23514,0,2036,12.6,11.151,0.156,,,,,,N,N,1.74895
  4347 Reger (1988 PK2),3.054629174,0.068407987,,0.555386332,88.6975714,128.7879841,2.84566814,3.263590209,5.338828194,14823,0,2259,12.4,16.686,0.076,15.96,,,,,N,N,1.83827
  4348 Poulydamas (1988 RU),5.2408893,0.096797587,,7.957732623,220.1050823,159.9709442,4.733583861,5.74819474,11.99818854,23933,0,2074,9.5,82.032,0.033,9.908,,,,,N,N,3.7371
  4349 Tiburcio (1989 LX),2.618929958,0.241634096,,10.747507,90.23703199,281.2976849,1.986107185,3.25175273,4.238322772,32385,0,2310,11.8,26.397,0.035,16.284,,,,,N,N,1.01921
  4350 Shibecha (1989 UG1),2.626556146,0.1930873,,13.69541174,32.37744969,109.6694566,2.11940151,3.133710781,4.256848906,17144,0,1975,12.1,11.489,0.176,2.89,,,,,N,N,1.17476
  4351 Nobuhisa (1989 UR1),2.853211645,0.070244278,,2.426774299,159.3449874,244.7572014,2.652789853,3.053633438,4.819579896,23186,0,2348,12.6,8.25,0.259,2.919,,,,,N,N,1.66203
  4352 Kyoto (1989 UW1),2.760118918,0.197532268,,11.09335761,68.63431924,348.5370966,2.214906368,3.305331469,4.585639324,25719,0,2027,11.6,11.61,0.29,21.9352,,,S,,N,N,1.22813
  4353 Onizaki (1989 WK1),2.345689508,0.109153643,,9.003079124,79.05775501,196.9648732,2.089648952,2.601730063,3.592642393,31991,0,2353,12.3,11.239,0.183,4.429,,,Xe,,N,N,1.07457
  4354 Euclides (2142 P-L),2.798637057,0.207797142,,7.419289529,192.9575289,242.8980576,2.217088276,3.380185838,4.681964031,23690,0,1499,13.5,12.339,0.051,,,,,,N,N,1.24334
  4355 Memphis (3524 P-L),2.571755006,0.042137868,,14.08073633,345.7400551,251.1855651,2.463386733,2.680123278,4.124322268,21363,0,1639,12.9,,,7.15,,,,,N,N,1.49351
  4356 Marathon (9522 P-L),2.801710164,0.191133144,,7.458071919,1.898071776,265.1465008,2.266210492,3.337209836,4.689677852,21387,0,1769,13,11.463,0.082,,,,,,N,N,1.26526
  4357 Korinthos (2069 T-2),3.004534341,0.068802164,,10.50685589,201.1357842,47.06103421,2.797815877,3.211252804,5.208035796,18579,0,2196,11.8,18.36,0.086,6.619,,,,,N,N,1.7975
  4358 Lynn (A909 TF),2.606537183,0.172285722,,13.08036998,15.23813355,260.3271616,2.157468043,3.055606323,4.208274779,40156,0,2041,12.2,9.122,0.307,3.8377,,,,,N,N,1.18771
  4359 Berlage (1935 TG),2.153119177,0.166002773,,1.146830055,173.4294354,185.6997263,1.795695423,2.510542931,3.159441409,30520,0,2326,13.7,5.084,0.226,7.413,,,,,N,N,0.791147
  4360 Xuyi (1964 TG2),2.598758537,0.159890015,,2.506090557,331.0875651,77.76437626,2.183242995,3.014274079,4.189450812,19834,0,2109,13.1,12.736,0.09,5.939,,,,,N,N,1.19454
  4361 Nezhdanova (1977 TG7),3.145351122,0.163746032,,2.727933581,74.8113291,356.7469732,2.630312356,3.660389888,5.578428908,23656,0,2098,12.4,17.079,0.057,,,,,,N,N,1.64474
  4362 Carlisle (1978 PR4),2.238117222,0.101637765,,4.714249065,34.39005306,171.8916312,2.01063999,2.465594454,3.348362318,24462,0,1880,13,5.59,0.391,,,,,,N,N,1.00633
  4363 Sergej (1978 TU7),2.376232596,0.228107561,,8.735640657,83.95803996,293.9000171,1.834195975,2.918269217,3.663039702,18765,0,2660,13.3,4.91,0.385,13.04,,,,,N,N,0.856744
  4364 Shkodrov (1978 VV5),2.327920359,0.139120253,,1.740215201,139.7420838,47.07801397,2.00405949,2.651781228,3.551897136,14927,0,2378,13.7,,,17.3233,,,,,N,N,1.00621
  4365 Ivanova (1978 VH8),2.849718113,0.054713726,,1.042938119,244.644721,56.36227473,2.693799416,3.00563681,4.810730814,23988,0,2051,12.6,7.389,0.324,9.84,,,,,N,N,1.67764
  4366 Venikagan (1979 YV8),3.15843545,0.138387641,,1.729296038,38.5743005,87.88122418,2.721347018,3.595523881,5.613273594,24574,0,2171,12.3,16.35,0.096,,,,,,N,N,1.7377
  4367 Meech (1981 EE43),2.879519163,0.234570095,,11.13024347,6.142913723,68.72779667,2.204070079,3.554968247,4.886390398,32306,0,1630,12.8,,,,,,,,N,N,1.24649
  4368 Pillmore (1981 JC2),3.18654771,0.022153683,,20.91607985,225.4885616,115.7875908,3.115953941,3.257141479,5.688383135,17003,0,2221,11.5,21.82,0.08,3.6054,,,,,N,N,2.15015
  4369 Seifert (1982 OR),2.609485042,0.252686073,,11.82172378,299.3640397,76.80752357,1.950104514,3.268865569,4.215415808,28829,0,1598,12,16.019,0.12,30.573,,,Xk,,N,N,0.989422
  4370 Dickens (1982 SL),2.196407923,0.199604099,,2.558438856,218.3666059,153.3862836,1.757995899,2.634819947,3.255200208,24900,0,1780,14.2,3.775,0.196,,,,,,N,N,0.757787
  4371 Fyodorov (1983 GC2),2.418699517,0.190180408,,2.326439995,54.87705193,168.4863817,1.958710256,2.878688779,3.76167334,24560,0,2112,13.2,5.629,0.327,,,,,,N,N,0.950058
  4372 Quincy (1984 TB),2.930160788,0.123429682,,1.504944067,14.69878721,16.71307265,2.568491972,3.291829603,5.015859704,18239,0,1987,13,,,2.763,,,S,,N,N,1.57348
  4373 Crespo (1985 PB),2.231284448,0.175674215,,4.959863965,154.3774967,240.5347157,1.839305304,2.623263592,3.333040647,15811,0,1814,13.4,5.018,0.336,,,,,,N,N,0.850838
  4374 Tadamori (1987 BJ),2.22285808,0.170951831,,4.845760443,152.5541471,339.0584993,1.842856422,2.602859738,3.314177814,18181,0,2055,13.3,5.687,0.388,4.50474,,,S,,N,N,0.858572
  4375 Kiyomori (1987 DQ),2.293611742,0.104806593,,5.863416093,137.5275108,70.17709052,2.05322611,2.533997375,3.473665996,28179,0,1740,13.1,,,6.4709,,,,,N,N,1.05804
  4376 Shigemori (1987 FA),2.231367444,0.158308905,,0.874745542,222.2682875,193.3797616,1.878122108,2.58461278,3.333226615,25149,0,1935,13.4,4.967,0.268,,,,,,N,N,0.889379
  4377 Koremori (1987 GD),2.376544287,0.073784894,,2.603770487,227.7765964,334.8409604,2.201191219,2.551897355,3.663760448,11705,0,2400,13.5,9.52,0.075,11.107,,,,,N,N,1.19794
  4378 Voigt (1988 JF),2.676265549,0.245523574,,10.98984532,98.22681853,128.436327,2.019179266,3.333351831,4.378264629,38844,0,2069,11.7,10.776,0.351,10.796,,,,,N,N,1.02914
  4379 Snelling (1988 PT1),3.16142345,0.12326115,,21.65643102,211.2180139,171.3787433,2.77174276,3.551104139,5.621241032,25371,0,1836,11.8,20.107,0.063,,,,,,N,N,1.77694
  4380 Geyer (1988 PB2),3.041677169,0.062378551,,9.870217516,345.6201748,47.43700084,2.851941754,3.231412585,5.304908277,30634,0,2022,11.8,16.908,0.129,,,,,,N,N,1.86548
  4381 Uenohara (1989 WD1),3.030201647,0.077457035,,11.23233682,108.0079161,227.6370656,2.795491213,3.264912081,5.27491538,24423,0,2281,11.3,20.242,0.157,,,,,,N,N,1.79706
  4382 Stravinsky (1989 WQ3),2.540998711,0.195347888,,6.24163834,121.0020609,251.305117,2.044619978,3.037377443,4.050558131,18519,0,2041,12.4,8.746,0.284,,,,Sa,,N,N,1.05392
  4383 Suruga (1989 XP),2.42412731,0.063624119,,7.15792442,88.50616434,318.6231503,2.269894346,2.578360273,3.774342772,14845,0,1898,13,6.471,0.32,3.4069,,,,,N,N,1.28549
  4384 Henrybuhl (1990 AA),2.620645228,0.180860069,,13.25537029,316.3407776,45.17812307,2.146675151,3.094615304,4.242487292,31236,0,1821,12.3,8.55,0.411,,,,,,N,N,1.1617
  4385 Elsasser (2534 P-L),3.166335111,0.183712589,,0.576187275,61.06247586,310.8269165,2.58463949,3.748030733,5.634346058,21410,0,2004,13,10.813,0.166,5.57,,,,,N,N,1.58405
  4386 Lust (6829 P-L),3.16283483,0.190705201,,11.51355413,24.53122328,129.4230115,2.559665778,3.766003883,5.625005758,23627,0,1426,12.9,15.663,0.06,,,,,,N,N,1.58716
  4387 Tanaka (4829 T-2),2.438059934,0.014023949,,4.272789451,120.8537074,19.08887728,2.403868705,2.472251162,3.806928923,23753,0,2274,12.7,7.137,0.263,,,,S,,N,N,1.41722
  4388 Jurgenstock (1964 VE),2.339218544,0.279031601,,24.58830806,213.8271546,194.881138,1.686502648,2.991934439,3.577786322,19916,0,1441,13.4,4.69,0.32,2.80956,,,,,N,N,0.700797
  4389 Durbin (1976 GL3),2.914562103,0.075570157,,2.770271581,132.1702699,222.3198307,2.694308189,3.134816018,4.975860231,23488,0,2613,12.3,10.107,0.208,,,,,,N,N,1.68894
  4390 Madreteresa (1976 GO8),2.40016435,0.23862099,,10.72112534,347.9694333,267.840984,1.827434758,2.972893943,3.718516163,15678,0,1854,13.3,10.835,0.033,,,,Cgh,,N,N,0.851237
  4391 Balodis (1977 QW2),2.389567839,0.213486479,,5.351282948,190.2962253,108.3432495,1.879427416,2.899708263,3.693917988,15182,0,1853,14.1,3.359,0.393,3.448,,,,,N,N,0.871615
  4392 Agita (1978 RX5),2.30719074,0.124345396,,5.889063408,31.83110137,294.0665232,2.020302193,2.594079287,3.504559617,17928,0,1731,13.7,,,,,,,,N,N,1.0167
  4393 Dawe (1978 VP8),3.224433495,0.120015867,,2.210775347,125.1122932,86.82518331,2.837450312,3.611416678,5.790130314,25332,0,1840,12.7,14.716,0.082,,,,,,N,N,1.83295
  4394 Fritzheide (1981 EB19),2.249159236,0.231131083,,1.685017019,168.7359713,140.8493731,1.729308627,2.769009845,3.373172164,17578,0,1342,14.9,2.606,0.313,,,,,,N,N,0.714393
  4395 Danbritt (1981 EH41),2.994053776,0.085447679,,10.04652407,189.4237155,101.5528574,2.738218829,3.249888722,5.180809183,23531,0,1679,12.8,11.299,0.126,,,,,,N,N,1.74479
  4396 Gressmann (1981 JH),2.219657493,0.191838925,,3.746804673,46.94217841,251.0238271,1.793840786,2.6454742,3.307022503,23201,0,1967,13.7,4.723,0.288,,,,B,,N,N,0.781724
  4397 Jalopez (1981 JS1),2.311067127,0.118733171,,5.466736842,323.315802,208.3268931,2.0366668,2.585467455,3.513395515,15428,0,2094,13.9,4.55,0.282,,,,,,N,N,1.04504
