RB	1,2
LWB	3,4,5
LM	6,7,8,9
LW	10,11,12
LCB	13,14,15,25,26,27
LDM	16,17,28,29
LCM	18,19,30,31
LAM	20,21,22,32,33,34
LF	23,24
LS	35,36
GK	37,49
CB	38,39,50,51
CDM	40,41,52,53
CM	42,43,54,55
CAM	44,45,46,56,57,58
ST	47,48,59,60
RCB	61,62,63,73,74,75
RDM	64,65,76,77
RCM	66,67,78,79
RAM	68,69,70,80,81,82
RF	83,84
RS	71,72
RB	85,86
RWB	87,88,89
RM	90,91,92,93
RW	94,95,96
