,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,moid
4519,0.07373978024300538,0.24445607844845338,0.16666666666666666,0.06194886100543828,0.2621491119666743,0.7184705176479751,0.18929152181360875,0.05282128753763205,0.029247170285758742,0.3157777993428805,0.24266925398878827,0.5714285714285714,0.321,0.0028848263254113347,0.0,0.0,0.09904666825994035
4520,0.11680027103559618,0.09498167069022308,0.16666666666666666,0.2108322622431692,0.1335351305226533,0.5882625138051835,0.3132444750058332,0.07270952324619213,0.051936285803780555,0.19734379548888858,0.18240620957309184,0.5085714285714285,0.075,0.0,0.0,0.0,0.23592492544147214
4521,0.09392560627051175,0.229648308308195,0.16666666666666666,0.18333043852821657,0.3664151361571878,0.6357296402539312,0.22902616737006293,0.06728659463773154,0.039440102166451274,0.3425200670982768,0.24008193186718413,0.5142857142857142,0.06,0.001687995124923827,0.0,0.0,0.14523336580989363
4522,0.09459028774842572,0.1545605534331301,0.16666666666666666,0.1621559847931857,0.5835735071742686,0.8792627763909282,0.25090789751254094,0.06200458672548674,0.03978939958104498,0.1903982920438634,0.21119016817593791,0.5542857142857143,0.05,0.0,0.0,0.0,0.16982568605637488
4523,0.0760944959435861,0.1470418594490429,0.16666666666666666,0.10642221329406847,0.4922461203800906,0.41476780160375776,0.21667141391061662,0.04814260436408781,0.030393784646742385,0.32444234954875023,0.2147477360931436,0.5542857142857143,0.1,0.6514320536258379,0.0,0.0,0.12838421297977992
4524,0.08899626936166377,0.22349064019396345,0.16666666666666666,0.19828132548922583,0.202736440065388,0.08526530744038312,0.22179508713400578,0.06306229183851048,0.036876336833614055,0.3138092135361069,0.15351444588184562,0.5828571428571429,0.034,0.0,0.0,0.0,0.1386669442537861
4525,0.09198322695719542,0.12667214972614232,0.16666666666666666,0.20741773922149237,0.2820343323660599,0.2785595247499087,0.2533669112186176,0.0580117227801654,0.03842423748814697,0.22561102408051792,0.21647261750754634,0.5257142857142857,0.20199999999999999,0.0,0.0,0.0,0.17579411026146693
4526,0.0718275565454877,0.23512656177340166,0.16666666666666666,0.06163113615714638,0.40566630853591584,0.47806222053081265,0.18805569347727805,0.050743329304506944,0.028324519086446502,0.18049990988867787,0.19933160845191894,0.6114285714285714,0.377,0.001639244363193175,0.0,0.0,0.09591154523791057
4527,0.08795792449596636,0.14930886130392665,0.16666666666666666,0.12730167730814518,0.4483618869736291,0.8785407882751055,0.23936540719410598,0.056828327907705055,0.036342329596588736,0.2667849666588108,0.21377749029754203,0.5085714285714285,0.292,0.0021427787934186473,0.0,0.0,0.15779131018121828
4528,0.11157717978506118,0.06419905089817636,0.16666666666666666,0.1609945934388647,0.3660505818459712,0.0153128094802128,0.31197646611973073,0.06644385059945616,0.0489983665855548,0.18184464808062883,0.2627210004312204,0.5257142857142857,0.214,0.002113954905545399,0.0,0.0,0.2369258652135581
4529,0.11672218590158952,0.11022570997001661,0.16666666666666666,0.07590669111706563,0.4575651480745935,0.042569953864365774,0.30820532603827183,0.07402096548004233,0.05189200444165646,0.32620298615058296,0.21021992238033635,0.5314285714285715,0.086,0.0,0.0,0.0,0.23143737879662005
4530,0.05265584624244137,0.042933144386533235,0.16666666666666666,0.3519617324384748,0.04191017751439061,0.3976888505778806,0.19057175079092112,0.025737821127546873,0.019510135786585933,0.21718214964024787,0.1253773178094006,0.6285714285714286,0.988,0.002525289457647776,0.0,0.0,0.10215214806564295
4531,0.11055795130941165,0.04585369228466303,0.16666666666666666,0.14841128660011096,0.5551579447413594,0.9681172634934975,0.3154488712003098,0.0641800179513361,0.048430795228614,0.2955374100619689,0.21647261750754634,0.5028571428571429,0.141,0.0,0.0,0.0,0.2389906243075149
4532,0.07861570076499434,0.2714940989346378,0.16666666666666666,0.33268640460236065,0.49605258641348354,0.8116497846769126,0.19132743718896675,0.05843196931361991,0.031634145405201985,0.30701620617470504,0.17981888745148772,0.5542857142857143,0.2,0.014625228519195612,0.0,0.0,0.11663010024080736
4533,0.10043515450037674,0.19759269569931334,0.16666666666666666,0.10573846610086154,0.8701830613894352,0.8641299688994648,0.2499322771396239,0.0696863716288048,0.042897211838937466,0.19246392081294275,0.22207848210435532,0.5428571428571428,0.064,0.00709689213893967,0.0,0.0,0.16521109705583498
4534,0.09988416741102703,0.1788210409908576,0.16666666666666666,0.11327995420633082,0.3828497238506373,0.2733335567597331,0.25427802347536765,0.06777162108339092,0.042601481956469726,0.308111405320727,0.2331824062095731,0.5257142857142857,0.195,0.0062224253503961,0.0,0.0,0.17160684554824068
4535,0.06969538654420061,0.09031683627850692,0.16666666666666666,0.06063701623948521,0.8709141548694805,0.659432748484999,0.2169006410725161,0.03996719381394489,0.027304804262881597,0.338846297810988,0.20364381198792583,0.5942857142857142,0.611,0.0,0.0,0.0,0.13021798597248613
4536,0.11127164846289718,0.03672370637701796,0.16666666666666666,0.12832750120826475,0.633146239156927,0.8232376317811192,0.31981635932674424,0.06386224454595621,0.04882802969715263,0.3356300167745692,0.221862871927555,0.4799999999999999,0.23600000000000002,0.0,0.0,0.0,0.2459702543336374
4537,0.08140902604142068,0.17039699201254024,0.16666666666666666,0.05742096070298514,0.6090865694012562,0.45467934206709987,0.22128803895414134,0.05358692871896488,0.03302352635650378,0.24213605423315265,0.22822337214316515,0.56,0.165,0.0,0.0,0.0,0.1349262526696443
4538,0.0940919651812854,0.07501759531217812,0.16666666666666666,0.08317085348483498,0.7113129696327628,0.3086962621254095,0.2717722549082841,0.055533156931170544,0.03952744594354577,0.19163212399317928,0.23307460112117293,0.56,0.0,0.0,0.0,0.0,0.19116238553134066
4539,0.09382240782452486,0.19548440939995643,0.16666666666666666,0.09270089487863302,0.6849330066065623,0.7245246666285792,0.2382004207279134,0.06458798009684373,0.03938594637982313,0.2768081183369609,0.22628288055196205,0.5314285714285715,0.087,0.0,0.0,0.0,0.1562334372538947
4540,0.07907246664262238,0.019251797805833495,0.16666666666666666,0.06956687410717771,0.1832645181076815,0.0641831127833188,0.2537402224276361,0.04154207943569243,0.031860253313861164,0.44666102893266607,0.2523717119448038,0.5542857142857143,0.33799999999999997,0.0017232419256550885,0.0,0.0,0.1726321671865698
